LESSON HISTORY

ID  |  Date  |  Time  |  Price
───────────────────────────────────────────────────────────────────
4067  |  2025-01-22  |  13:00  |  €45
4127  |  2025-08-23  |  13:00  |  €25
4196  |  2026-05-10  |  11:00  |  €95
4312  |  2026-04-20  |  13:00  |  €60
4509  |  2026-10-13  |  12:00  |  €40
4511  |  2026-04-18  |  10:00  |  €25
4523  |  2024-10-04  |  12:00  |  €65
4618  |  2024-08-12  |  12:00  |  €20
4698  |  2026-03-19  |  15:00  |  €90
4849  |  2026-04-28  |  14:00  |  €40
4903  |  2026-03-02  |  15:00  |  €80
5014  |  2025-12-01  |  14:00  |  €45
5184  |  2025-12-16  |  18:00  |  €90
5216  |  2026-07-22  |  12:00  |  €30
5224  |  2024-09-06  |  17:00  |  €25
5226  |  2024-04-27  |  11:00  |  €70
5304  |  2024-10-02  |  15:00  |  €95
5613  |  2026-10-24  |  13:00  |  €95
5621  |  2024-06-03  |  17:00  |  €50
5716  |  2024-02-27  |  9:00  |  €85
6049  |  2026-01-27  |  13:00  |  €95
6144  |  2025-03-28  |  16:00  |  €60
6192  |  2025-11-14  |  11:00  |  €20
6329  |  2024-02-26  |  11:00  |  €90
6795  |  2025-02-15  |  11:00  |  €30
6868  |  2025-12-15  |  17:00  |  €40
6960  |  2025-06-03  |  18:00  |  €55
6977  |  2026-12-18  |  10:00  |  €65
6993  |  2025-01-15  |  13:00  |  €20
7164  |  2025-10-22  |  18:00  |  €25
7256  |  2024-11-16  |  11:00  |  €90
7261  |  2024-01-10  |  10:00  |  €85
7398  |  2026-03-12  |  14:00  |  €30
7533  |  2025-08-19  |  18:00  |  €80
7713  |  2024-09-19  |  16:00  |  €60
7820  |  2024-09-03  |  18:00  |  €80
7856  |  2025-11-15  |  9:00  |  €80
7898  |  2024-05-17  |  13:00  |  €60
12004  |  2026-03-21  |  12:00  |  €60
12005  |  2026-02-26  |  16:00  |  €60
12006  |  2026-02-14  |  15:00  |  €60
12007  |  2026-03-28  |  15:00  |  €60
12008  |  2026-03-01  |  11:00  |  €60
12009  |  2026-04-09  |  15:00  |  €60
12010  |  2026-02-17  |  16:00  |  €60
12011  |  2026-02-16  |  11:00  |  €60
12012  |  2026-02-09  |  17:00  |  €60
12013  |  2026-03-31  |  15:00  |  €60
12014  |  2026-04-03  |  14:00  |  €60
12015  |  2026-02-04  |  11:00  |  €60
12016  |  2026-02-23  |  15:00  |  €60
12017  |  2026-03-25  |  17:00  |  €60
12018  |  2026-02-26  |  11:00  |  €60
12019  |  2026-03-26  |  10:00  |  €60
12020  |  2026-03-12  |  9:00  |  €60
12021  |  2026-02-21  |  16:00  |  €60
12022  |  2026-02-06  |  16:00  |  €60
12023  |  2026-03-03  |  14:00  |  €60
12024  |  2026-03-25  |  14:00  |  €60
12025  |  2026-03-17  |  14:00  |  €60
12026  |  2026-03-16  |  17:00  |  €60
12027  |  2026-04-05  |  9:00  |  €60
12028  |  2026-03-07  |  9:00  |  €60
12029  |  2026-04-08  |  18:00  |  €60
12030  |  2026-03-27  |  14:00  |  €60
12031  |  2026-03-09  |  16:00  |  €60
12032  |  2026-02-23  |  9:00  |  €60
12033  |  2026-03-19  |  18:00  |  €60
12034  |  2026-02-26  |  18:00  |  €60
12035  |  2026-02-24  |  14:00  |  €60
12036  |  2026-03-28  |  10:00  |  €60
12037  |  2026-02-04  |  17:00  |  €60
12038  |  2026-02-18  |  9:00  |  €60
12039  |  2026-03-13  |  9:00  |  €60
12040  |  2026-04-06  |  14:00  |  €60
12041  |  2026-02-15  |  14:00  |  €60

───────────────────────────────────────────────────────────────────

Total lessons: 76
